coord0,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,coord12,coord13,coord14,coord15,coord16,coord17,coord18,coord19,coord20,coord21,coord22,coord23
-0.02674331935036393,-2.707807421267067,-0.4950805758422289,-0.6686544236751741,-2.6669675229698466,-0.0949516451416873,-1.266408796630091,-0.5765940019402851,-0.012114449251917785,-1.1218710813864317,-1.8154413675623393,-0.1639344420078089,0.0016020845246238462,-0.008302144346645715,-0.00568135116850483,-0.07495492619125327,-0.05049642366410991,-0.002039154720220724,-0.03867103287756368,-0.009345334024947182,-7.985782438644941e-10,-0.15908974918445712,-0.11139649366319658,-0.027607991637413253
-0.024908416035742956,-12.309318557684325,-1.0137663867533497,-0.005696157939564239,-2.459751732876604,-0.04832290487508119,-0.07913639168143602,-0.6432044407540122,-0.026878876970416635,-0.011666067408431869,-2.1325221208307035,-0.13139155415312112,0.039401233892858524,-0.002407031224219562,-0.0043454684747224435,-0.14324242137654278,-0.04672033314080253,-0.12433653027385806,-0.0009388369592661869,-0.044021269299017174,-0.39723806873160317,-0.690799269018944,-0.2334272431153447,-0.0825824028380678
-0.006378577883340824,-0.3648856277569701,-0.001067500394438077,-0.026070081910717018,-2.3862378428503206,-0.10836282699905879,-1.9788123131115332,-0.09592081621356566,-0.5300373712525569,-0.9690697381079294,-0.014687540499805814,-0.49953956518908627,0.0034014085583161766,-0.0014955775838806375,-0.0033400791815231803,-0.08756230740102511,-0.011093060819326825,-0.07041567293595118,-0.0385610835972179,-0.022473258096283973,-0.1431138286148483,-0.04427960694473025,-0.0005740566221224104,-0.032049778387379615
-2.6896226052832113e-12,-2.2412932060100363,-8.434475178465322,-1.6553766124334364e-09,-0.09270329014981434,-0.17428556578182797,-1.2664176796173494,-0.021136635414358753,-0.0242926312510814,-4.6722981873936815,-0.22109252655682174,-0.08857563121408428,0.002909754449154721,-0.0038859478419817424,-0.010735335622544544,-0.312830328733731,-0.05601100864857617,-1.341979960749915,-0.09561603423224249,-0.020695527616592272,-0.2543027776959006,-9.033402344510813e-11,-0.0732645232548444,-0.16320340316396134
-0.006377853482682286,-4.26177581343436,-0.8379769884011538,-0.02610627811477845,-0.15762455728564867,-1.2155968939473432,-0.07916998469583428,-0.020387806367320453,-0.3706714583480458,-0.13646830990175357,-0.2830229999785216,-0.0004928209398911538,0.004261458240310409,-0.0007804029453770728,-0.006315324864027805,-0.014550850648600584,-0.09926850352786656,-0.10720836966293501,-0.03780086710515938,-0.099084138545053,-0.39752413544642745,-0.044242357556725766,-0.012706667663989037,-0.1686057147682323
-0.025512956126393465,-2.3899404170927983,-2.721446937290155,-0.10432142336919246,-1.085413341313653,-0.7697391798754346,-0.31660370100970203,-0.22464708589891041,-0.0037134843739286306,-0.27617555722385045,-0.09651934353450708,-0.06975397269189572,0.02909954234992511,-0.008330335394704189,-0.019807025624692876,-0.0010549291003096764,-0.26978648171791453,-0.08176664952543927,-0.11660800508775276,-0.47952556382039535,-0.0636265801025844,-0.177187894665835,-0.006746261462468458,-0.08315047485399214
-0.006378094060336257,-9.522107347668676e-05,-0.41396013640304363,-0.026047452224516092,-0.12140484469016619,-0.25154391047855695,-0.07915835078375735,-0.0798422875808247,-0.043606642647775924,-0.6894301949743846,-0.02338116687066944,-0.5257917480207173,0.02013394628865655,-0.0015065385239202212,-0.014880537548799207,-0.038941374780427335,-0.04157796992752772,-4.3693570036991375e-05,-0.0038693620478519783,-0.068143844217593,-0.015892229706565432,-0.04431863509676171,-0.09385743806543305,-0.015353466886703231
-0.00637771571989975,-0.007424398581947576,-0.022015218188129012,-0.026054568974992188,-0.1505662918775543,-0.07164600344998732,-0.07911817321840399,-0.3802619395465323,-0.1909460450180311,-1.2829554503429703,-0.20117848515433104,-2.140903582700541,0.011089630452006817,-0.0025457976147317462,-0.021936502302371635,-0.023442436231089853,-0.000613664044286347,-0.19499265479584446,-0.028614932361310713,-0.010348064921436483,-0.01587304060196689,-0.04433139391748976,-0.46497451530786,-2.8268461692589056e-06
-0.006686629335680442,-4.194160715803474,-2.4506702716374678,-0.16717361021666616,-0.0002638910463123458,-0.04886450223279663,-0.31660202162024403,-0.0548479621582378,-0.0021708097546683292,-0.64727946898159,-0.007028967869087997,-0.00026266846254855976,0.005469310177158703,-0.004982710004282896,-0.0012631740843225582,-0.17852121170364854,-0.0004787347793389011,-0.013189557459397455,-0.039081373438403406,-0.024546901401423727,-0.06354866226366698,-0.03976518569129615,-0.026110698436853937,-0.17308880553947892
-0.05924688872848416,-2.199662673893968,-0.184078375051113,-0.9587636977054426,-0.1702566289997479,-0.11762172439617466,-0.07915699316167706,-0.20216013901815882,-0.704986380489364,-0.000330692666980123,-0.003544781624946926,-0.4355732401951476,0.0003346683732013684,-0.0020958263975970758,-0.0100804915893226,-0.0004901536757668092,-0.17911527389320922,-0.028079557746885326,-0.02049181949387575,-0.3784634706028884,-0.3974778629693172,-0.03544412612873278,-0.011408350313632255,-0.060780243444480485
